HOOD_158,NEIGHBOURHOOD_158,OCC_YEAR,MCI_CATEGORY,count
001,West Humber-Clairville (1),2001,Auto Theft,1
001,West Humber-Clairville (1),2005,Assault,2
001,West Humber-Clairville (1),2007,Assault,1
001,West Humber-Clairville (1),2008,Theft Over,1
001,West Humber-Clairville (1),2009,Theft Over,1
001,West Humber-Clairville (1),2010,Assault,3
001,West Humber-Clairville (1),2010,Theft Over,1
001,West Humber-Clairville (1),2011,Theft Over,1
001,West Humber-Clairville (1),2012,Assault,3
001,West Humber-Clairville (1),2013,Assault,6
001,West Humber-Clairville (1),2013,Auto Theft,4
001,West Humber-Clairville (1),2013,Break and Enter,1
001,West Humber-Clairville (1),2013,Robbery,1
001,West Humber-Clairville (1),2013,Theft Over,1
001,West Humber-Clairville (1),2014,Assault,299
001,West Humber-Clairville (1),2014,Auto Theft,313
001,West Humber-Clairville (1),2014,Break and Enter,151
001,West Humber-Clairville (1),2014,Robbery,81
001,West Humber-Clairville (1),2014,Theft Over,41
001,West Humber-Clairville (1),2015,Assault,300
001,West Humber-Clairville (1),2015,Auto Theft,267
001,West Humber-Clairville (1),2015,Break and Enter,118
001,West Humber-Clairville (1),2015,Robbery,74
001,West Humber-Clairville (1),2015,Theft Over,58
001,West Humber-Clairville (1),2016,Assault,293
001,West Humber-Clairville (1),2016,Auto Theft,318
001,West Humber-Clairville (1),2016,Break and Enter,130
001,West Humber-Clairville (1),2016,Robbery,90
001,West Humber-Clairville (1),2016,Theft Over,40
001,West Humber-Clairville (1),2017,Assault,308
001,West Humber-Clairville (1),2017,Auto Theft,324
001,West Humber-Clairville (1),2017,Break and Enter,124
001,West Humber-Clairville (1),2017,Robbery,123
001,West Humber-Clairville (1),2017,Theft Over,58
001,West Humber-Clairville (1),2018,Assault,322
001,West Humber-Clairville (1),2018,Auto Theft,504
001,West Humber-Clairville (1),2018,Break and Enter,170
001,West Humber-Clairville (1),2018,Robbery,91
001,West Humber-Clairville (1),2018,Theft Over,54
001,West Humber-Clairville (1),2019,Assault,247
001,West Humber-Clairville (1),2019,Auto Theft,490
001,West Humber-Clairville (1),2019,Break and Enter,139
001,West Humber-Clairville (1),2019,Robbery,72
001,West Humber-Clairville (1),2019,Theft Over,65
001,West Humber-Clairville (1),2020,Assault,245
001,West Humber-Clairville (1),2020,Auto Theft,404
001,West Humber-Clairville (1),2020,Break and Enter,107
001,West Humber-Clairville (1),2020,Robbery,76
001,West Humber-Clairville (1),2020,Theft Over,53
001,West Humber-Clairville (1),2021,Assault,247
001,West Humber-Clairville (1),2021,Auto Theft,503
001,West Humber-Clairville (1),2021,Break and Enter,100
001,West Humber-Clairville (1),2021,Robbery,53
001,West Humber-Clairville (1),2021,Theft Over,57
001,West Humber-Clairville (1),2022,Assault,262
001,West Humber-Clairville (1),2022,Auto Theft,785
001,West Humber-Clairville (1),2022,Break and Enter,134
001,West Humber-Clairville (1),2022,Robbery,71
001,West Humber-Clairville (1),2022,Theft Over,59
001,West Humber-Clairville (1),2023,Assault,325
001,West Humber-Clairville (1),2023,Auto Theft,835
001,West Humber-Clairville (1),2023,Break and Enter,214
001,West Humber-Clairville (1),2023,Robbery,77
001,West Humber-Clairville (1),2023,Theft Over,77
001,West Humber-Clairville (1),2024,Assault,337
001,West Humber-Clairville (1),2024,Auto Theft,667
001,West Humber-Clairville (1),2024,Break and Enter,155
001,West Humber-Clairville (1),2024,Robbery,63
001,West Humber-Clairville (1),2024,Theft Over,73
001,West Humber-Clairville (1),2025,Assault,238
001,West Humber-Clairville (1),2025,Auto Theft,367
001,West Humber-Clairville (1),2025,Break and Enter,92
001,West Humber-Clairville (1),2025,Robbery,51
001,West Humber-Clairville (1),2025,Theft Over,66
002,Mount Olive-Silverstone-Jamestown (2),2000,Assault,3
002,Mount Olive-Silverstone-Jamestown (2),2002,Assault,4
